Date,Username,User tag,Content,Mentions,link
"2022-05-14,19:53:00",valley seeker,#0186,Martin Scorsese and Bill Maher are right about superhero comics and superhero movies.,,
"2022-05-30,08:09:02",valley seeker,#0186,I just played smash for the nintendo 64 with a friend.,,
"2022-05-30,09:04:06",valley seeker,#0186,"I indeed lost hope on most of humankind when I played injustice, street fighter, guilty gear and dbz fighterz.",,
"2022-05-30,09:04:10",valley seeker,#0186,Whats the point?!,,
"2022-05-30,11:11:03",valley seeker,#0186,Not when it contredict the iconisation of the character or the power scaling.,,
"2022-05-30,11:11:52",valley seeker,#0186,"And no, gamer do not care about fairness.",,
"2022-05-30,11:11:59",valley seeker,#0186,"Indeed, I do not",Le Mounir#6969,
"2022-05-30,11:12:57",valley seeker,#0186,"I see them as a waste of time. Better go fighting in real life, earing your heartbeat, blood pumping and getting physically more fit.",,
"2022-05-30,11:13:14",valley seeker,#0186,Its literally the same thing.,Le Mounir#6969,
"2022-05-30,11:13:27",valley seeker,#0186,Legendary item in destiny 1,Frunnkis#8368,
"2022-05-30,11:14:02",valley seeker,#0186,"You know, the fatality rate is really low in actual sport right.",Le Mounir#6969,
"2022-05-30,11:14:37",valley seeker,#0186,And its still better than to waste that one life you have perfecting move you could actually do( not supernatural of course) in real life,,
"2022-05-30,11:15:03",valley seeker,#0186,Danger is part of life. This...,,
"2022-05-30,11:15:08",valley seeker,#0186,By a wide margin,,
"2022-05-30,11:15:39",valley seeker,#0186,?,Le Mounir#6969,
"2022-05-30,11:16:21",valley seeker,#0186,"I said living a dangerous life is better than just... existing for 80 years, and you ask me about stalin?",,
"2022-05-30,11:16:36",valley seeker,#0186,What the hell is the connection?,,
"2022-05-30,11:17:09",valley seeker,#0186,"If you have to know, he is a lefty like me but I do not approve of his method and his result",,
"2022-05-30,11:17:23",valley seeker,#0186,Not...,,
"2022-05-30,11:17:34",valley seeker,#0186,Did you ever do skydiving?,,
"2022-05-30,11:17:58",valley seeker,#0186,"When your heart plunge, your adreline just rush inside your vein",,
"2022-05-30,11:18:10",valley seeker,#0186,Thats living dangerously.,,
"2022-05-30,11:18:20",valley seeker,#0186,Its putting your life on the line responsibly,,
"2022-05-30,11:18:29",valley seeker,#0186,Lol,,
"2022-05-30,11:18:43",valley seeker,#0186,I got out with my eyes fully red,,
"2022-05-30,11:18:59",valley seeker,#0186,I got scared shitless.,,
"2022-05-30,11:20:07",valley seeker,#0186,"No, I meant shitless. As in, adding a tone to my word.",,
"2022-05-30,11:21:41",valley seeker,#0186,"But yeah. My point is, you don't have to fight to the death. I did boxing for 3 years and I never killed anyone. You can, not waste your life",,
"2022-05-30,11:21:54",valley seeker,#0186,"\"\"\"No paragraph\"\" nha kidding\"",Darky4540#5733,
"2022-05-30,11:22:26",valley seeker,#0186,"But actually, just put god tier character against other god tier character. Why is that so hard?",Darky4540#5733,
"2022-05-30,11:23:11",valley seeker,#0186,You don't,Darky4540#5733,
"2022-05-30,11:23:26",valley seeker,#0186,No. Through adventure,Frunnkis#8368,
"2022-05-30,11:23:39",valley seeker,#0186,I don't look crippled,Le Mounir#6969,
"2022-05-30,11:24:08",valley seeker,#0186,"I was born soulless, horny and inferior.",,
"2022-05-30,11:24:28",valley seeker,#0186,Lol,,
"2022-05-30,11:26:14",valley seeker,#0186,You wanna talk about this here?,,
"2022-05-30,11:26:26",valley seeker,#0186,"Wait, arthur is joe?",,
"2022-05-30,11:26:32",valley seeker,#0186,Why joe,,
"2022-05-30,11:26:50",valley seeker,#0186,HAA,Wubba Wubba#1493,
"2022-05-30,11:27:17",valley seeker,#0186,Like i said. Not the place.,,
"2022-05-30,11:27:51",valley seeker,#0186,No,,
"2022-05-30,11:27:53",valley seeker,#0186,And yes,,
"2022-05-30,11:28:35",valley seeker,#0186,Indeed,Le Mounir#6969,
